Workstream,Priority,Status,Date,Activity Summary,Work Performed,Outcome / Resolution,Hours,Notes
AA – GCP,P1,Completed,2026-05-06,GKE IaC setup,"Updated Infrastructure-as-Code to support GKE; restructured repository layout; configured resource templates for IaC provisioning.","GKE-ready IaC templates prepared and structured for deployment use.",2.3,
GCP Staging,P0,Completed,2026-05-13,Staging deployment and bundle update,"Deployed new image tags for GCP Staging (Frontend: dd026f7; Backend: v0.2.32). Updated application bundle with required data and refreshed Sites API JSON for testing (coordinated with Chetan).","Staging deployment completed with agreed tags; bundle and Sites API JSON updated for validation.",1.0,
E2E – Biocon,P0,Completed,2026-06-02,New image tag deployment and validation,"Deployed new image tags for Biocon sites (Anekal and Nagaland) and validated application modules after deployment.","New tags deployed; post-deployment module validation completed for Anekal and Nagaland.",0.3,
GCP Migration,P0,Completed,2026-06-04,Goa data export alignment,"Aligned with Govind on Goa data export approach covering on-prem VM connectivity, AA infrastructure export script, MinIO, and DB migration testing.","Migration approach and prerequisites clarified; ready for export execution.",0.3,
GCP Migration,P0,Completed,2026-06-05,On-prem data migration working session,"Working session with Govind: connected to on-prem VM, executed export script, configured GCloud and utilities required for data export.","VM connectivity verified; export script executed; GCloud/utils configured for migration.",2.0,
GCP Migration,P0,Completed,2026-06-08,Data export and frontend tag update,"Updated frontend image tag to 09ae2ec based on changes discussed with Chetan. Continued migration session with Govind to export data and push artifacts to storage for migration.","Frontend tag updated; data export and storage push steps progressed with Govind.",4.0,
On-Prem,P0,Completed,2026-06-09,ArgoCD ComparisonError on Dummy Staging cluster,"ArgoCD ComparisonError on Dummy Staging cluster (172.23.255.208) caused by invalid/stale cluster credentials and CNPG downtime. Cluster was briefly re-registered as ""default"" while applications expected ""arogyam-dummy-staging"". Also reviewed image tags with Chetan for Staging and Dummy Staging.","Verified connectivity from ArgoCD management VM (199) to target (208); exported and copied kubeconfig; removed incorrect ""default"" registration; re-added cluster as arogyam-dummy-staging; refreshed apps. Final: Cluster Successful; Sync OutOfSync (expected drift); Health Healthy.",3.0,
Heat Health,P0,In Progress,2026-06-09,Azure migration setup and planning,"Heat Health project (with Aishwarya / Rohit): completed environment setup activities and prepared Azure migration plan.","Setup and migration plan drafted; Azure migration work ongoing.",3.0,Confirm current status with Aishwarya/Rohit before client share
GCP Staging,P0,Completed,2026-06-16,Environment updates and endpoint validation,"Updated environment configuration values and validated cron-job endpoints with Chetan.","Env changes applied; cron endpoints validated successfully.",1.0,
E2E Staging,P0,Completed,2026-06-22,Staging VM storage exhaustion and service recovery,"VM root disk exhausted causing app/DB instability. PostgreSQL WAL (pg_wal) had grown significantly (~110GB). Backup/snapshot retention further consumed local disk. Stale dashboard pods remained; dashboard ran incorrect image tag (ccccdb4 vs required 2ec191d). Manual deploy initially failed due to placeholder image repo. Keycloak showed repeated CLIENT_LOGIN_ERROR for api-client service-account auth.","Validated infra with df/kubectl; identified WAL growth under Rancher/k3s storage; confirmed CNPG WAL archiving active but retained history filled disk; took VM snapshot; offloaded backups to object storage; cleaned old snapshots; expanded root disk and rebooted; cleaned stale pods; redeployed dashboard to iisc/arogyam-dashboard:2ec191d; reviewed Keycloak logs. Services restored; Keycloak client auth needs follow-up.",4.0,Open follow-up: Keycloak api-client CLIENT_LOGIN_ERROR
AA – On-Prem E2E,P0,Completed,2026-06-24,SSL and node connectivity issues,"Investigated SSL certificate and node connectivity issues across E2E environments (Nagaland Staging Anekal).","Issue triage completed; remediation continued in subsequent sessions.",6.0,Part of SSL/cert remediation series closed 2026-07-09
